timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1599107900602,1212,View Job Details Page,200,OK,Thread Group 1-2,text,true,,15081,764,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber/118,1212,0,0
1599107892957,8999,View Job Details Page,200,OK,Thread Group 1-1,text,true,,15081,764,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber/117,8998,0,0
1599107901817,1536,Fill Job Details Info,200,OK,Thread Group 1-2,text,true,,16792,2376,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber/118,983,0,656
1599107901817,983,Fill Job Details Info-0,302,Found,Thread Group 1-2,text,true,,1562,1778,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber,983,0,656
1599107902800,553,Fill Job Details Info-1,200,OK,Thread Group 1-2,text,true,,15230,598,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber/118,552,0,0
1599107903355,296,Add Employee Page,200,OK,Thread Group 1-2,text,true,,10369,507,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/addEmployee,296,0,0
1599107903654,4875,Fill Employee Info,200,OK,Thread Group 1-2,text,true,,14574,586,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewPersonalDetails/empNumber/119,4874,0,0
1599107908572,973,View Personal Details Page,200,OK,Thread Group 1-2,text,true,,14574,773,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewPersonalDetails/empNumber/119,973,0,0
1599107909549,761,View Job Details Page,200,OK,Thread Group 1-2,text,true,,15082,764,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber/119,760,0,0
1599107901960,10590,Fill Job Details Info,200,OK,Thread Group 1-1,text,true,,16788,2424,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber/117,1018,0,690
1599107901960,1018,Fill Job Details Info-0,302,Found,Thread Group 1-1,text,true,,1562,1826,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber,1018,0,690
1599107902979,9571,Fill Job Details Info-1,200,OK,Thread Group 1-1,text,true,,15226,598,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber/117,9571,0,0
1599107910311,4240,Fill Job Details Info,200,OK,Thread Group 1-2,text,true,,16786,2448,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber/119,1024,0,0
1599107910311,1025,Fill Job Details Info-0,302,Found,Thread Group 1-2,text,true,,1561,1850,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber,1024,0,0
1599107911336,3215,Fill Job Details Info-1,200,OK,Thread Group 1-2,text,true,,15225,598,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber/119,3214,0,0
1599107912551,3160,Logout,200,OK,Thread Group 1-1,text,true,,21761,1533,2,2,https://opensource-demo.orangehrmlive.com/index.php/auth/login,548,0,0
1599107912551,549,Logout-0,302,Found,Thread Group 1-1,text,true,,1606,758,2,2,https://opensource-demo.orangehrmlive.com/index.php/auth/logout,548,0,0
1599107913100,2611,Logout-1,200,OK,Thread Group 1-1,text,true,,20155,775,2,2,https://opensource-demo.orangehrmlive.com/index.php/auth/login,2610,0,0
1599107914551,2568,Logout,200,OK,Thread Group 1-2,text,true,,21760,1533,2,2,https://opensource-demo.orangehrmlive.com/index.php/auth/login,931,0,0
1599107914551,931,Logout-0,302,Found,Thread Group 1-2,text,true,,1606,758,2,2,https://opensource-demo.orangehrmlive.com/index.php/auth/logout,931,0,0
1599107915483,1636,Logout-1,200,OK,Thread Group 1-2,text,true,,20154,775,2,2,https://opensource-demo.orangehrmlive.com/index.php/auth/login,1423,0,0
1599107915712,2116,Launch Home Page,200,OK,Thread Group 1-1,text,true,,20155,659,2,2,https://opensource-demo.orangehrmlive.com/,1891,0,0
1599107917120,913,Launch Home Page,200,OK,Thread Group 1-2,text,true,,20154,659,2,2,https://opensource-demo.orangehrmlive.com/,912,0,0
1599107918034,888,Get _csrf_token,200,OK,Thread Group 1-2,text,true,,20154,474,2,2,https://opensource-demo.orangehrmlive.com/index.php/auth/login,675,0,0
1599107918922,1209,Login Admin Account  ,200,OK,Thread Group 1-2,text,true,,12270,1912,2,2,https://opensource-demo.orangehrmlive.com/index.php/dashboard,637,0,0
1599107918922,637,Login Admin Account  -0,302,Found,Thread Group 1-2,text,true,,1627,1054,2,2,https://opensource-demo.orangehrmlive.com/index.php/auth/validateCredentials,637,0,0
1599107919560,571,Login Admin Account  -1,200,OK,Thread Group 1-2,text,true,,10643,858,2,2,https://opensource-demo.orangehrmlive.com/index.php/dashboard,570,0,0
1599107920186,530,Launch Dashboard Page,200,OK,Thread Group 1-2,text,true,,10643,772,2,2,https://opensource-demo.orangehrmlive.com/index.php/dashboard,529,0,0
1599107917829,3460,Get _csrf_token,200,OK,Thread Group 1-1,text,true,,20155,474,2,2,https://opensource-demo.orangehrmlive.com/index.php/auth/login,3378,0,0
1599107921290,1294,Login Admin Account  ,200,OK,Thread Group 1-1,text,true,,12269,1912,2,2,https://opensource-demo.orangehrmlive.com/index.php/dashboard,638,0,0
1599107921290,638,Login Admin Account  -0,302,Found,Thread Group 1-1,text,true,,1627,1054,2,2,https://opensource-demo.orangehrmlive.com/index.php/auth/validateCredentials,638,0,0
1599107921929,655,Login Admin Account  -1,200,OK,Thread Group 1-1,text,true,,10642,858,2,2,https://opensource-demo.orangehrmlive.com/index.php/dashboard,655,0,0
1599107922587,607,Launch Dashboard Page,200,OK,Thread Group 1-1,text,true,,10642,772,2,2,https://opensource-demo.orangehrmlive.com/index.php/dashboard,607,0,0
1599107920717,2767,Launch PIM Page,200,OK,Thread Group 1-2,text,true,,15420,1481,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,282,0,0
1599107920717,282,Launch PIM Page-0,302,Found,Thread Group 1-2,text,true,,1539,739,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewPimModule,282,0,0
1599107920999,2485,Launch PIM Page-1,200,OK,Thread Group 1-2,text,true,,13881,742,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,2484,0,0
1599107923195,1135,Launch PIM Page,200,OK,Thread Group 1-1,text,true,,15418,1481,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,296,0,0
1599107923195,296,Launch PIM Page-0,302,Found,Thread Group 1-1,text,true,,1539,739,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewPimModule,296,0,0
1599107923491,839,Launch PIM Page-1,200,OK,Thread Group 1-1,text,true,,13879,742,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewEmployeeList,839,0,0
1599107924333,570,Add Employee Page,200,OK,Thread Group 1-1,text,true,,10371,525,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/addEmployee,569,0,0
1599107923485,1991,Add Employee Page,200,OK,Thread Group 1-2,text,true,,10369,525,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/addEmployee,1991,0,0
1599107924905,1189,Fill Employee Info,200,OK,Thread Group 1-1,text,true,,14574,604,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewPersonalDetails/empNumber/120,1188,0,0
1599107926098,588,View Personal Details Page,200,OK,Thread Group 1-1,text,true,,14574,791,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewPersonalDetails/empNumber/120,587,0,0
1599107926689,621,View Job Details Page,200,OK,Thread Group 1-1,text,true,,15086,782,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber/120,621,0,0
1599107927313,879,Fill Job Details Info,200,OK,Thread Group 1-1,text,true,,16796,2448,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber/120,307,0,0
1599107927313,307,Fill Job Details Info-0,302,Found,Thread Group 1-1,text,true,,1561,1832,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber,307,0,0
1599107927620,572,Fill Job Details Info-1,200,OK,Thread Group 1-1,text,true,,15235,616,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewJobDetails/empNumber/120,571,0,0
1599107925478,3345,Fill Employee Info,200,OK,Thread Group 1-2,text,true,,10468,582,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/addEmployee,3345,0,0
1599107928194,801,Add Employee Page,200,OK,Thread Group 1-1,text,true,,10372,525,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/addEmployee,800,0,0
1599107929098,515,View Personal Details Page,200,OK,Thread Group 1-2,text,true,,8895,797,2,2,https://opensource-demo.orangehrmlive.com/index.php/pim/viewPersonalDetails/empNumber/NOT_FOUND,515,0,0
